0,2,1,1
30,3,1,1
45,3,1,1
60,3,1,1
90,3,1,1
120,4,1,1
150,5,1,1
180,5,1,1
210,6,1,1
240,6,1,1
300,8,1,1
330,8,1,1
360,9,1,1
390,9,1,1
420,10,1,1
484,11,1,1
510,12,1,1
540,12,1,1
600,13,1,1
660,14,1,1
752,16,1,1
780,16,1,1
850,18,1,1
870,18,1,1
930,19,1,1
1030,21,1,1
1050,21,1,1
1140,23,1,1
1230,25,1,1
1260,25,1,1
1350,26,1,1
1440,29,1,1
1470,29,1,1
1620,32,1,1
1740,34,1,1
1860,36,1,1
1980,38,1,1
2130,41,1,1
2230,43,1,1
2370,46,1,1
2475,47,1,1
2685,51,1,1
2820,54,1,1
3120,58,1,1
3242,60,1,1
3300,61,1,1
3360,62,1,1
3600,65,1,1
3850,69,1,1
4043,71,1,1
4080,71,1,1
4200,73,1,1
4395,75,1,1
4570,77,1,1
4728,79,1,1
4949,81,1,1
5111,83,1,1
5290,85,5,1
5543,88,1,1
5707,89,1,1
5999,90,1,1
6176,92,1,1
6491,93,1,1
6610,93,1,1
6826,94,1,1
7181,95,1,1
7271,95,1,1
7455,96,1,1
7695,96,1,1
7789,97,1,1
8084,97,1,1
8403,97,1,1
8640,98,1,1
8865,98,1,1
9073,98,1,1
9220,98,1,1
9540,100,1,1
